id,state,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,designation
9004,,,India,,Organizational Change Management (OCM),,0,0,
48666,,HFNOI,India,"Developer - Java, Microservices, React.js","React.js,Microservices,Java",,0,0,Software Developer
28388,,Bengaluru,India,,"Wire Harnesses,3D Routing,Electrical Schematics Design,Electro-Mechanical Packaging,Power Distribution (PD),Electrical Cabling",,0,0,
60629,,Manila,Philippines,,"Microsoft Windows,ARABIC,English",,0,0,Senior Analyst
56960,,Pune,India,,SAP Security GRC Administration,ServiceNow GRC,0,0,Lead Consultant
71198,,Chennai,India,,"Software Testing,Functional Testing,Selenium",,0,0,Senior Test Engineer
68416,,Noida,India,,"Information System Security/Firewalls,SOX IT General Controls,SAP Security GRC Administration",,0,0,Senior Technical Lead
77591,,Mumbai,India,,"Microsoft Windows,English,German",,0,0,Senior Analyst
18367,,Bengaluru,India,,"Spring Boot,Java,RESTful API",,0,0,
29955,,Chennai,India,,"React.js,Node.js,JavaScript",,0,0,
78098,,COLOMBO,Sri Lanka,,Microsoft 365 Administration,,0,0,Analyst
56647,,Chennai,India,,"CA Service Desk Manager,BMC Remedy Action Request System,ServiceNow,Knowledge Management",,0,0,Associate
77536,,Lucknow,India,,"Microsoft Windows,ARABIC,English",,0,0,Analyst
74602,,Southampton,United Kingdom,,"Cisco Switch,IBM FlashSystem Storage",,0,0,Senior Project Manager
63440,,Chennai,India,,"Salesforce Lightning,Salesforce Apex","Salesforce Marketing Cloud Personalization,Salesforce Design/Configuration/Customization,SQL Proficiency",0,0,Technical Lead
77907,,Bengaluru,India,,"Access/Rights Management Tool - Others,Microsoft Windows",,0,0,Senior Analyst
78097,,Noida,India,,"Desk Side Services,Windows PC,AMT Asset Management Software",,0,0,Senior Analyst
7766193,,Noida,India,,Cisco Customer Voice Portal (CVP),,0,0,Senior Project Manager
776618,,Noida,India,,Cisco Customer Voice Portal (CVP),,0,0,Senior Project Manager
DEMO__Java__03,,Noida,India,,"Java,J2EE,SpringBoot",,0,0,Technical Architect
4589,,,Angola,,"Full Stack - Java,React,Angular",,0,0,"Developer with React, Full Stack - Java, Angular"
4354,,Noida,India,,"Cucumber,Selenium,Java",,0,0,"Automation Tester with cucumber,selenium,java"
5028,,Noida,India,,"React,Angular,Java",,0,0,"Developer with react,angular,java"
5003,,Noida,India,,"C#,C++,Python",Agile-Scrum (Digital),0,0,"Senior Technical Lead with c#,python,c++"
2877,,Noida,India,,"SQL,Python,Amazon Glue","Agile-Scrum (Digital),IBM MDM",0,0,AWS Data Engineer
1383,,Noida,India,,"SQL,Python,Amazon Glue",,0,0,AWS Data Engineer
5046,,Noida,India,,"Full Stack - Java,React,Angular",,0,0,"Senior Technical Lead with React, Full Stack - Java, Angular"
4871,,,United States,,"SQL,Python,Amazon Glue",Talend MDM,0,0,AWS Data Engineer
4673,,,Korea (the Republic of),,Terraform,SAFe- Agile SW Engineering (ASE),0,0,Analyst - Voice
4668,,Manila,Philippines,,Terraform,IBM MDM,0,0,Analyst - Voice
4689,,,Korea (the Republic of),,Quest,Agile-Scrum (Digital),0,0,Senior Program Director
3688,,Noida,India,,"Springboot,DevOps Solutions,Java",AWS PaaS,0,0,Full Stack Java Senior Technical Lead with  DevOps
4622,,Dubai,United Arab Emirates,,,,0,0,Senior Program Director
4705,,,Singapore,,"SQL,Google Dataflow,Google BigQuery",Terraform,0,0,"Functional Lead  with Oracle ERP Cloud - AR,GL,Order Mangement, Inventory"
4677,,,Oman,,"Kotlin,Java",AWS PaaS,0,0,Kotlin Senior Developer with Java
3571,,Noida,India,,"DevOps Solutions,AWS Architecture,Java",,0,0,"Java Technical Lead with DevOps Solutions,AWS Architecture"
3560,,,Sweden,,"SQL,Google Dataflow,Google BigQuery",Talend MDM,0,0,"Functional Lead  with Oracle ERP Cloud - AR,GL,Order Mangement, Inventory"
3548,,,Hungary,,"SQL,Google Dataflow,Google BigQuery",,0,0,"Functional Lead  with Oracle ERP Cloud - AR,GL,Order Mangement, Inventory"
3900,,Noida,India,,"CAD Design Skills,Javascript,Jquery",,0,0,"Design Lead with javascript,CAD Design Skills,Jquery"
3507,,Noida,India,,"SQL,Azure Databricks,Azure Data Factory (ADF),Oracle PL/SQL,Python","Agile-Scrum (Digital),SIT_JAVA,C++ programming,DevOps-API_Apache Ant",0,0,Azure Data Lead
3942,,Noida,India,,"SQL,Informatica MDM,Oracle PL/SQL,Python",AWS PaaS,0,0,Informatica MDM Lead
3984,,Noida,India,,"Full Stack - Java,DevOps Solutions,React.js",Terraform,0,0,"Full Stack Java Technical Lead with DevOps, React"
3930,,Noida,India,,"C,Autosar,Canoe",,0,0,"Senior Technical Lead with autosar,canoe,c"
3917,,Noida,India,,"SQL,Azure Data Factory (ADF)","Full Stack - Java,C++ programming",0,0,Azure Data Engineer
4305,,,Luxembourg,,"SQL,Informatica MDM,Oracle PL/SQL,Python",MySQL,0,0,Informatica MDM Lead
4301,,,France,,"SQL,Unix Shell Scripting,IBM Infosphere Datastage Suite",Agile-Scrum (Digital),0,0,Datastage Senior Engineer
4200,,,United States,,"SQL,Python,Amazon Glue",,0,0,AWS Data Engineer
4063,,Noida,India,,"Full Stack - .NET,Angular,ASP.Net MVC",DevOps-API_TeamCity,0,0,Microsoft Full Stack Architect with Angular
4190,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",SQL Server,0,0,AWS Data Lead
4058,,Noida,India,,"React,Javascript",,0,0,FTE INDIA
4000,,Noida,India,,"Full Stack - Java,DevOps Solutions,React.js",,0,0,"Full Stack Java Technical Lead with DevOps, React"
4660,,,Czech Republic,,,,0,0,Senior Program Manager
4359,,Noida,India,,"AWS PaaS,Terraform",,0,0,Senior Program Director
4663,,,Estonia,,,,0,0,Senior Program Director
4450,,Buenos Aires,Argentina,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",,0,0,AWS Senior Data Lead
4544,,,Canada,,IBM MDM,Kofax Total Agility,0,0,Analyst - Voice
4626,,,Belgium,,,,0,0,Senior Program Director
4635,,,Switzerland,,"Full Stack - .NET,Angular,ASP.Net MVC",,0,0,Microsoft Full Stack Senior Architect with Angular
4815,,,Germany,,"SQL,Azure Databricks,Azure Data Factory (ADF),Oracle PL/SQL,Python",,0,0,Azure Data Lead
5016,,Noida,India,,"C#,C++,Python",,0,0,"Technical lead with c#,python,c++"
4772,,,Israel,,IBM MDM,DevOps-API_TeamCity,0,0,Analyst - Voice
5054,,Noida,India,,"SQL,Unix Shell Scripting,Oracle PL/SQL,IBM Infosphere Datastage Suite",,0,0,Datastage Technical Lead
5080,,Noida,India,,"SQL,Azure Data Factory (ADF)",,0,0,Azure Data Engineer
5007,,Noida,India,,"Full Stack - Java,React,Angular",,0,0,"Technical Lead with React, Full Stack - Java, Angular"
5223,,Noida,India,,"Unix Shell Scripting,PL/SQL,Informatica",,0,0,"Developer with Unix Shell Scripting, Informatica, PL/SQL"
4976,,Noida,India,,"Full Stack - Java,React,Angular",,0,0,"Developer with React, Full Stack - Java, Angular"
5222,,Noida,India,,"C++,Python,Java",,0,0,"Senior Developer with python,c++,java"
5019,,Noida,India,,"React,Angular,Java",Quest,0,0,"Developer with react,angular,java"
4827,,,United Kingdom,,"SQL,Azure Databricks,Azure Data Factory (ADF),Oracle PL/SQL,Python",DevOps-API_TeamCity,0,0,Azure Data Lead
5094,,Noida,India,,AWS PaaS,,0,0,PMO Associate
5093,,,India,,AWS PaaS,Agile-Scrum (Digital),0,0,PMO Associate
5415,,,India,,"DevOps Solutions,AWS Architecture,Java",,0,0,"Java Senior Developer with DevOps Solutions,AWS Architecture"
5411,,,United Kingdom,,"C++,Python,Java",,0,0,"Developer with python,c++,java"
5400,,Noida,India,,"C++,Python,Java",,0,0,"Developer with python,c++,java"
